dataset,trait_slug,best_baseline_name,best_baseline,triple_two_step_ls,triple_minus_best_abs,triple_minus_best_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,BayesB,0.6595304655499581,0.6667482587338653,0.007217793183907251,1.0943835896782417
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,BayesB,0.7558951617688524,0.7693484635687795,0.013453301799927098,1.7797840865187369
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,RKHS,0.6569647395441828,0.6683217517102835,0.011357012166100744,1.7287095459614013
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,RKHS,0.7589378570432362,0.7717257529924701,0.012787895949233907,1.684972732689152
rice529,grain_length,BayesB,0.7410745899848749,0.7471217113205084,0.006047121335633565,0.8159936148609529
rice529,grain_thickness,BayesB,0.7108970917208475,0.7131952867888545,0.002298195068006992,0.32328097762276947
rice529,grain_weight,BayesB,0.5618842313208047,0.5821290944566104,0.020244863135805757,3.6030310172999083
rice529,grain_width,BayesB,0.8361757046060854,0.8363920128901539,0.00021630828406848934,0.02586875974474649
rice529,heading_date,RKHS,0.7464108640319594,0.7498213305035735,0.0034104664716140265,0.4569154383942621
rice529,num_effective_panicles,RKHS,0.6631866929606557,0.6642498067587903,0.0010631137981346184,0.1603038494919995
rice529,num_panicles,RKHS,0.6633105117243119,0.6628671173288899,-0.0004433943954219588,-0.06684567598202701
rice529,plant_height,GBLUP,0.8426889477000238,0.8534609758700485,0.010772028170024761,1.278292328317012
rice529,spikelet_length,RKHS,0.6318017939059084,0.6319937252484692,0.00019193134256079158,0.03037841050976426
rice529,yield,RKHS,0.5326906988924256,0.5315888231674157,-0.0011018757250098599,-0.2068509413250293
soybean951,bbd_beijing_2013_bbd_beijing_2013,BayesB,0.8209726382027954,0.8215402674605814,0.0005676292577859732,0.06914106894336694
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,RKHS,0.6058627412984846,0.6018948351949448,-0.003967906103539809,-0.6549183227600026
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,BayesB,0.7986820730391638,0.8009584199514194,0.0022763469122555335,0.28501289675797087
soybean951,fac_beijing_2013_fac_beijing_2013,RKHS,0.6475880541147304,0.6498799118848132,0.0022918577700827836,0.35390673986656723
soybean951,hsw_beijing_2013_hsw_beijing_2013,GBLUP,0.7710934466422215,0.7803307055119622,0.009237258869740694,1.1979428576348252
soybean951,ll_beijing_2013_ll_beijing_2013,BayesB,0.4031851006768385,0.4088193876442725,0.00563428696743401,1.3974442403688951
soybean951,lw_beijing_2013_lw_beijing_2013,BayesB,0.5470655817574893,0.5561485812076794,0.009082999450190088,1.6603127217417462
soybean951,md_beijing_2013_md_beijing_2013,RKHS,0.6729233112263855,0.6719087934082759,-0.0010145178181095726,-0.15076276912753103
soybean951,plh_beijing_2013_plh_beijing_2013,BayesB,0.7616884118454353,0.7637812975526741,0.0020928857072387563,0.27476927240734395
soybean951,prt_beijing_2013_prt_beijing_2013,RKHS,0.302407996825868,0.300137747842423,-0.0022702489834450224,-0.7507238589170884
soybean951,sl_beijing_2013_sl_beijing_2013,RKHS,0.5554622127077014,0.5578232908069687,0.002361078099267333,0.42506547614784257
soybean951,st_beijing_2013_st_beijing_2013,GBLUP,0.7322396944452573,0.7364077663065381,0.004168071861280875,0.5692223315534123
soybean951,vbn_beijing_2013_vbn_beijing_2013,RKHS,0.7713125691711441,0.7700892056877212,-0.0012233634834228901,-0.15860800566721245
wheat406,ph_e1,BayesB,0.8135824369230313,0.8224771687802332,0.00889473185720191,1.0932797284614186
wheat406,ph_e2,BayesB,0.7801366585180576,0.7888466137759421,0.008709955257884539,1.1164653221693122
wheat406,ph_e3,BayesB,0.8484937473839054,0.8541493338664935,0.005655586482588126,0.6665442733108589
wheat406,pl_e1,BayesB,0.8433099151777892,0.8632838351112213,0.019973919933432116,2.368514774218106
wheat406,pl_e2,RKHS,0.7239989328303194,0.7379921540938941,0.013993221263574718,1.9327682167805422
wheat406,pl_e3,BayesB,0.8121783474113368,0.8202889853833224,0.008110637971985635,0.9986277026267375
wheat406,sl_e1,RKHS,0.4596038136626806,0.477206446803793,0.017602633141112378,3.829958024245545
wheat406,sl_e2,RKHS,0.4367164719870486,0.4381478551549217,0.0014313831678731126,0.32776028835375876
wheat406,sl_e3,BayesB,0.6506261195035332,0.6580563200589686,0.007430200555435418,1.14200772651198
