dataset,trait_slug,marker_count,effective_marker_count,best_block_group_size,source,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,best_baseline_name,best_baseline,single_bayesb_two_step_ls_vs_no_prior_pct,single_bayesb_two_step_ls_vs_best_baseline_pct,single_gblup_two_step_ls_vs_no_prior_pct,single_gblup_two_step_ls_vs_best_baseline_pct,single_rkhs_two_step_ls_vs_no_prior_pct,single_rkhs_two_step_ls_vs_best_baseline_pct,triple_two_step_ls_vs_no_prior_pct,triple_two_step_ls_vs_best_baseline_pct,single_bayesb_two_step_ls_vs_own_prior_pct,single_gblup_two_step_ls_vs_own_prior_pct,single_rkhs_two_step_ls_vs_own_prior_pct,triple_two_step_ls_vs_BayesB_pct,triple_two_step_ls_vs_GBLUP_pct,triple_two_step_ls_vs_RKHS_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,2000,2000,182,marker_count_run,0.6211914341568158,0.6268876468378577,0.623803364237612,0.639326307883388,0.6380725743047752,0.6363017238612939,0.6433210592125268,0.6436724609421928,RKHS,0.639326307883388,2.717542325881115,-0.19610229755186023,2.432469102699128,-0.47308924797847124,3.562448520519127,0.6248376267143197,3.6190175120318564,0.6798020048938053,1.7841996924546837,2.0035736163361286,0.6248376267143197,2.677483627090264,3.1851538230903973,0.6798020048938053
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,10000,10000,0,main_10k_reference,0.6324071861231926,0.6595304655499581,0.646071941795476,0.648465806475645,0.6680683243374574,0.6577354336606226,0.6568747362813578,0.6667482587338653,BayesB,0.6595304655499581,5.638952086056482,1.2945359211541423,4.005053720641323,-0.27216815342088646,3.868955112315722,-0.40266968810693743,5.4302154314835915,1.0943835896782417,1.2945359211541423,1.805293050296069,1.2967422062567397,1.0943835896782417,3.200311853959871,2.8193394432905983
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,50000,50000,3944,marker_count_run,0.6245252091871082,0.6920924754273949,0.6546474000544278,0.6515983616119991,0.6949905546732796,0.6609728069134174,0.6571271628693092,0.6940718077422148,BayesB,0.6920924754273949,11.283026601582705,0.4187416203441627,5.8360490801884515,-4.496461039366144,5.220278253400883,-5.052115692558756,11.135915337289513,0.2859924627265338,0.4187416203441627,0.9662311128805732,0.8484983362499943,0.2859924627265338,6.022235433075763,6.518347594542739
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,2000,2000,163,marker_count_run,0.7290796286134127,0.7091251054979364,0.7135463652663175,0.7343186870585123,0.7391816714884347,0.7409049517103592,0.746572975860855,0.7460815076163684,RKHS,0.7343186870585123,1.3855884156624187,0.6622444063628868,1.6219522028665494,0.8969218362438396,2.3993740273215085,1.668797079294026,2.3319646216546213,1.601868611702477,4.23854207917136,3.834170808764555,1.668797079294026,5.211548968144596,4.559639560059663,1.601868611702477
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,10000,10000,0,main_10k_reference,0.7406978873915858,0.7558951617688524,0.7419842403264798,0.7496275878175716,0.7684407598432123,0.7588091647125923,0.7600081574612467,0.7693484635687795,BayesB,0.7558951617688524,3.7455044659739345,1.6597008036143774,2.4451638960098134,0.3855035845077909,2.607037281780732,0.5441225053973877,3.86805155852253,1.7797840865187369,1.6597008036143774,2.267558186776228,1.3847635562475293,1.7797840865187369,3.6879790371638075,2.6307564011381084
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,50000,50000,1546,marker_count_run,0.738868475736769,0.766662203285392,0.7548775044221522,0.755916296471963,0.7780720080621772,0.7668600564549539,0.7647885836680022,0.778570744041825,BayesB,0.766662203285392,5.305887801792621,1.4882440699294375,3.7884388950649073,0.02580708540397925,3.508081449189827,-0.24438659025589066,5.373387769110954,1.553296967738999,1.4882440699294375,1.5873505254305083,1.1737129147034122,1.553296967738999,3.138686671794476,2.9969518682948872
rice529,grain_weight,2000,2000,266,marker_count_run,0.5483425315706859,0.5482764751513298,0.5518079863472403,0.571446350103859,0.5665139598822247,0.567909953735079,0.5734721647894272,0.5743436721199255,RKHS,0.571446350103859,3.313882703843554,-0.8631414341412496,3.56846697781106,-0.6188501104499612,4.582834956602644,0.3545065403252616,4.741769797568195,0.507015578197312,3.3263299735523386,2.9180381194602996,0.3545065403252616,4.754389099295371,4.083972383557363,0.507015578197312
rice529,grain_weight,10000,10000,0,main_10k_reference,0.5741059483379454,0.5618842313208047,0.5553552985858479,0.5563503061347376,0.582189903613124,0.5804446063867748,0.5783832890767779,0.5821290944566104,BayesB,0.5618842313208047,1.408094672870379,3.6138533812538807,1.104092035133932,3.30323828848885,0.745043793957475,2.93638027840529,1.397502698220131,3.6030310172999083,3.6138533812538807,4.517703867202508,3.960271558959904,3.6030310172999083,4.821021054258262,4.633553363342577
rice529,grain_weight,50000,50000,2347,marker_count_run,0.5439004723348332,0.5828232261744469,0.5800853069225831,0.5675093172985914,0.5764082068674907,0.5730731386009136,0.5637410958572034,0.5758165518762951,BayesB,0.5828232261744469,5.97677997834966,-1.100680106567356,5.3636037749423515,-1.672906489593985,3.6478408333052665,-3.274085427668242,5.867999967798135,-1.202195448548345,-1.100680106567356,-1.2088167443629698,-0.6639928766852954,-1.202195448548345,-0.7358840148760543,1.4638058485536476
rice529,grain_width,2000,2000,101,marker_count_run,0.8085580322942907,0.819453175927821,0.8202833945948704,0.8222496528083154,0.8248615994768919,0.8247734614489783,0.8242979974340825,0.8275418042828185,RKHS,0.8222496528083154,2.016375638040433,0.3176585918468427,2.005474994624224,0.30693945957205326,1.946671050330119,0.2491146841803044,2.3478552225449087,0.6436185721001264,0.6600039767918697,0.5473799523060574,0.2491146841803044,0.9870763324383083,0.8848661006398848,0.6436185721001264
rice529,grain_width,10000,10000,0,main_10k_reference,0.8165831120803615,0.8361757046060854,0.8275337207776243,0.8231585449543589,0.8367177662832492,0.8296927935371604,0.8249036473132249,0.8363920128901539,BayesB,0.8361757046060854,2.4657201336912107,0.06482628880245012,1.605431371633457,-0.7753048830782516,1.0189452989868493,-1.348048888620924,2.4258278816624523,0.02586875974474649,0.06482628880245012,0.2609045051973505,0.21200075848847502,0.02586875974474649,1.0704448519880847,1.6076450905977886
rice529,grain_width,50000,50000,6601,marker_count_run,0.8191325533258981,0.8421682482575861,0.8357950764791834,0.8279890027924205,0.8422379894647319,0.8363323781175558,0.8286198990592778,0.8421590463449112,BayesB,0.8421682482575861,2.820720046471062,0.008281148961642755,2.099760865542678,-0.692957749488238,1.1582186173481392,-1.6087461414437425,2.811082641694487,-0.0010926454059360746,0.008281148961642755,0.06428628900708566,0.07619621332283245,-0.0010926454059360746,0.7614270584766182,1.7113806469291015
soybean951,bbd_beijing_2013_bbd_beijing_2013,2000,2000,147,marker_count_run,0.8062508552907595,0.7913837707522781,0.7931534842237908,0.803959628323385,0.8125663201638158,0.8138354973890257,0.8145203682522192,0.8137605405801512,RKHS,0.803959628323385,0.7833126416689241,1.0705378152357767,0.9407298049353384,1.2284036060661843,1.025674938165179,1.3135908268003555,0.9314328462552202,1.2190801517242291,2.6766469309071015,2.607567586426864,1.3135908268003555,2.8275497495484574,2.598117106744758,1.2190801517242291
soybean951,bbd_beijing_2013_bbd_beijing_2013,10000,10000,0,main_10k_reference,0.7906833674729926,0.8209726382027954,0.8110292283597659,0.8112954639228436,0.8216812608220667,0.812765700151264,0.8086520766608869,0.8215402674605814,BayesB,0.8209726382027954,3.920392741805448,0.08631501054926145,2.7928161368622297,-0.9996603625545096,2.272554340598045,-1.5007274260540115,3.9025609057904913,0.06914106894336694,0.08631501054926145,0.21410717774130297,-0.32582300524338553,0.06914106894336694,1.2960123671588457,1.2627709624063832
soybean951,bbd_beijing_2013_bbd_beijing_2013,50000,50000,7067,marker_count_run,0.79333098734304,0.8189247417821754,0.8138711664579592,0.8139674152517229,0.8210879383278409,0.8173695679717273,0.8146065375729522,0.8210159316326348,BayesB,0.8189247417821754,3.4987856805848776,0.26415083527184735,3.030082148838712,-0.18990436252587622,2.6817999762200877,-0.5273017151522129,3.489709179558832,0.25535800101830847,0.26415083527184735,0.4298470885746552,0.07851939884247842,0.25535800101830847,0.8778742224976728,0.8659457674644235
soybean951,lw_beijing_2013_lw_beijing_2013,2000,2000,147,marker_count_run,0.4597424297573743,0.4996924618405776,0.4926745348537406,0.5028266398838099,0.5056918574950301,0.5016511043718659,0.5067628304550867,0.5062145407147834,RKHS,0.5028266398838099,9.994602360696899,0.5698221581661301,9.115685632193792,-0.23378544784653485,10.227553006697061,0.7828126553092652,10.108292806895044,0.6737711493878619,1.2006176023456934,1.822008016060779,0.7828126553092652,1.3052185838830348,2.748265823209732,0.6737711493878619
soybean951,lw_beijing_2013_lw_beijing_2013,10000,10000,0,main_10k_reference,0.5017393084607698,0.5470655817574893,0.5259177969093123,0.5318117511192463,0.5561485812076794,0.5399268860500864,0.5401224344143445,0.5561485812076794,BayesB,0.5470655817574893,10.844131968417187,1.6603127217417462,7.611039626627641,-1.3049067507535916,7.650013723526279,-1.2691617924197398,10.844131968417187,1.6603127217417462,1.6603127217417462,2.663741220225303,1.5627114815736243,1.6603127217417462,5.748195721085291,4.576211420152723
soybean951,lw_beijing_2013_lw_beijing_2013,50000,50000,2347,marker_count_run,0.5571266575176668,0.6554876287327271,0.5421401964255834,0.5417728222176299,0.6593380359868408,0.5798223547733541,0.5767862305833924,0.6593380359868408,BayesB,0.6554876287327271,18.346165470628712,0.5874111249906846,4.07370513498856,-11.543356524616472,3.5287439221308876,-12.006542106902977,18.346165470628712,0.5874111249906846,0.5874111249906846,6.950629854826322,6.462747286296622,0.5874111249906846,21.61762590819891,21.700094384207596
wheat406,sl_e1,2000,2000,163,marker_count_run,0.3884166789055912,0.4521996966525144,0.4428167530883643,0.4439957129282567,0.4529791174301705,0.4444993901371898,0.4374857458747042,0.4535432039659442,BayesB,0.4521996966525144,16.62195318349651,0.17236207441665197,14.43880097775877,-1.7028553031608475,12.633099872891856,-3.2538612667661595,16.767180349683887,0.2971048683524881,0.17236207441665197,0.3799849570031319,-1.4662229530591027,0.2971048683524881,2.4223227334489366,2.150356582211026
wheat406,sl_e1,10000,10000,0,main_10k_reference,0.4509765888184286,0.4539404593060275,0.4487348730308792,0.4596038136626806,0.4765675959949215,0.4742850660528733,0.4766347086230006,0.477206446803793,RKHS,0.4596038136626806,5.674575534739406,3.690957696162896,5.168445061752218,3.1943278001099826,5.6894571560348615,3.705559974491331,5.816234952259348,3.829958024245545,4.984604527978355,5.693828261980402,3.705559974491331,5.125339022067768,6.344854274553901,3.829958024245545
wheat406,sl_e1,50000,50000,4429,marker_count_run,0.502986850791239,0.4689656865447261,0.4650979456573235,0.4798134304530214,0.5114243240537245,0.5107580176995212,0.5165618710377808,0.5140402752300205,RKHS,0.4798134304530214,1.6774739238635632,6.588163564087261,1.54500398888313,6.449295764248024,2.698881735215799,7.658902034080829,2.197557336020537,7.133365305069398,9.053676788557336,9.817302456080796,7.658902034080829,9.61148970565367,10.523015642119587,7.133365305069398
wheat406,sl_e2,2000,2000,96,marker_count_run,0.3505110429821652,0.375652012652958,0.375486772826389,0.3991712967474411,0.3847436782193826,0.3866447848706018,0.401322926229061,0.3955736532766467,RKHS,0.3991712967474411,9.766492646269995,-3.614392779645924,10.308874031759157,-3.138129414341374,14.49651423663741,0.5390240979629485,12.856259794580676,-0.9012780979266404,2.4202360855773817,2.9716125444908394,0.5390240979629485,5.303216794446691,5.349557402264371,-0.9012780979266404
wheat406,sl_e2,10000,10000,0,main_10k_reference,0.3700577667693672,0.4158682835930846,0.4100684976960874,0.4367164719870486,0.424051779462497,0.4191283019904896,0.4381478551549217,0.4381478551549217,RKHS,0.4367164719870486,14.590698410278403,-2.8999804992304457,13.260236543475894,-4.027365836817025,18.399853887674414,0.32776028835375876,18.399853887674414,0.32776028835375876,1.967809566699185,2.2093392555886333,0.32776028835375876,5.357362520974806,6.847479778767275,0.32776028835375876
wheat406,sl_e2,50000,50000,3537,marker_count_run,0.3761688381627251,0.4521041298152843,0.4155910657419132,0.4430727071592053,0.4559151369580012,0.4238477153414456,0.4430788627436691,0.4553387280704027,BayesB,0.4521041298152843,21.1996025999312,0.8429489782086109,12.674860951160264,-6.249979288042202,17.787232166211407,-1.996280608032194,21.04637117055131,0.7154542597166631,0.8429489782086109,1.9867245184380125,0.0013892944350442742,0.7154542597166631,9.564128203172992,2.768399116669117
